遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#21,遥测(AI)#21,21,-9980,遥控(DO)#21,2,1,遥调(AO)#21,累计量(CI)#21
遥信(DI)#22,遥测(AI)#22,22,-9979,遥控(DO)#22,2,1,遥调(AO)#22,累计量(CI)#22
遥信(DI)#23,遥测(AI)#23,23,-9978,遥控(DO)#23,2,1,遥调(AO)#23,累计量(CI)#23
遥信(DI)#24,遥测(AI)#24,24,-9977,遥控(DO)#24,2,1,遥调(AO)#24,累计量(CI)#24
遥信(DI)#25,遥测(AI)#25,25,-9976,遥控(DO)#25,2,1,遥调(AO)#25,累计量(CI)#25
遥信(DI)#26,遥测(AI)#26,26,-9975,遥控(DO)#26,2,1,遥调(AO)#26,累计量(CI)#26
遥信(DI)#27,遥测(AI)#27,27,-9974,遥控(DO)#27,2,1,遥调(AO)#27,累计量(CI)#27
遥信(DI)#28,遥测(AI)#28,28,-9973,遥控(DO)#28,2,1,遥调(AO)#28,累计量(CI)#28
遥信(DI)#29,遥测(AI)#29,29,-9972,遥控(DO)#29,2,1,遥调(AO)#29,累计量(CI)#29
遥信(DI)#30,遥测(AI)#30,30,-9971,遥控(DO)#30,2,1,遥调(AO)#30,累计量(CI)#30
遥信(DI)#31,遥测(AI)#31,31,-9970,遥控(DO)#31,2,1,遥调(AO)#31,累计量(CI)#31
遥信(DI)#32,遥测(AI)#32,32,-9969,遥控(DO)#32,2,1,遥调(AO)#32,累计量(CI)#32
遥信(DI)#33,遥测(AI)#33,33,-9968,遥控(DO)#33,2,1,遥调(AO)#33,累计量(CI)#33
遥信(DI)#34,遥测(AI)#34,34,-9967,遥控(DO)#34,2,1,遥调(AO)#34,累计量(CI)#34
遥信(DI)#35,遥测(AI)#35,35,-9966,遥控(DO)#35,2,1,遥调(AO)#35,累计量(CI)#35
遥信(DI)#36,遥测(AI)#36,36,-9965,遥控(DO)#36,2,1,遥调(AO)#36,累计量(CI)#36
遥信(DI)#37,遥测(AI)#37,37,-9964,遥控(DO)#37,2,1,遥调(AO)#37,累计量(CI)#37
遥信(DI)#38,遥测(AI)#38,38,-9963,遥控(DO)#38,2,1,遥调(AO)#38,累计量(CI)#38
遥信(DI)#39,遥测(AI)#39,39,-9962,遥控(DO)#39,2,1,遥调(AO)#39,累计量(CI)#39
遥信(DI)#40,遥测(AI)#40,40,-9961,遥控(DO)#40,2,1,遥调(AO)#40,累计量(CI)#40
遥信(DI)#41,遥测(AI)#41,41,-9960,遥控(DO)#41,2,1,遥调(AO)#41,累计量(CI)#41
遥信(DI)#42,遥测(AI)#42,42,-9959,遥控(DO)#42,2,1,遥调(AO)#42,累计量(CI)#42
遥信(DI)#43,遥测(AI)#43,43,-9958,遥控(DO)#43,2,1,遥调(AO)#43,累计量(CI)#43
遥信(DI)#44,遥测(AI)#44,44,-9957,遥控(DO)#44,2,1,遥调(AO)#44,累计量(CI)#44
遥信(DI)#45,遥测(AI)#45,45,-9956,遥控(DO)#45,2,1,遥调(AO)#45,累计量(CI)#45
遥信(DI)#46,遥测(AI)#46,46,-9955,遥控(DO)#46,2,1,遥调(AO)#46,累计量(CI)#46
遥信(DI)#47,遥测(AI)#47,47,-9954,遥控(DO)#47,2,1,遥调(AO)#47,累计量(CI)#47
遥信(DI)#48,遥测(AI)#48,48,-9953,遥控(DO)#48,2,1,遥调(AO)#48,累计量(CI)#48
遥信(DI)#49,遥测(AI)#49,49,-9952,遥控(DO)#49,2,1,遥调(AO)#49,累计量(CI)#49
遥信(DI)#50,遥测(AI)#50,50,-9951,遥控(DO)#50,2,1,遥调(AO)#50,累计量(CI)#50
遥信(DI)#51,遥测(AI)#51,51,-9950,遥控(DO)#51,2,1,遥调(AO)#51,累计量(CI)#51
遥信(DI)#52,遥测(AI)#52,52,-9949,遥控(DO)#52,2,1,遥调(AO)#52,累计量(CI)#52
遥信(DI)#53,遥测(AI)#53,53,-9948,遥控(DO)#53,2,1,遥调(AO)#53,累计量(CI)#53
遥信(DI)#54,遥测(AI)#54,54,-9947,遥控(DO)#54,2,1,遥调(AO)#54,累计量(CI)#54
遥信(DI)#55,遥测(AI)#55,55,-9946,遥控(DO)#55,2,1,遥调(AO)#55,累计量(CI)#55
遥信(DI)#56,遥测(AI)#56,56,-9945,遥控(DO)#56,2,1,遥调(AO)#56,累计量(CI)#56
遥信(DI)#57,遥测(AI)#57,57,-9944,遥控(DO)#57,2,1,遥调(AO)#57,累计量(CI)#57
遥信(DI)#58,遥测(AI)#58,58,-9943,遥控(DO)#58,2,1,遥调(AO)#58,累计量(CI)#58
遥信(DI)#59,遥测(AI)#59,59,-9942,遥控(DO)#59,2,1,遥调(AO)#59,累计量(CI)#59
遥信(DI)#60,遥测(AI)#60,60,-9941,遥控(DO)#60,2,1,遥调(AO)#60,累计量(CI)#60
遥信(DI)#61,遥测(AI)#61,61,-9940,遥控(DO)#61,2,1,遥调(AO)#61,累计量(CI)#61
遥信(DI)#62,遥测(AI)#62,62,-9939,遥控(DO)#62,2,1,遥调(AO)#62,累计量(CI)#62
遥信(DI)#63,遥测(AI)#63,63,-9938,遥控(DO)#63,2,1,遥调(AO)#63,累计量(CI)#63
遥信(DI)#64,遥测(AI)#64,64,-9937,遥控(DO)#64,2,1,遥调(AO)#64,累计量(CI)#64
遥信(DI)#65,遥测(AI)#65,65,-9936,遥控(DO)#65,2,1,遥调(AO)#65,累计量(CI)#65
遥信(DI)#66,遥测(AI)#66,66,-9935,遥控(DO)#66,2,1,遥调(AO)#66,累计量(CI)#66
遥信(DI)#67,遥测(AI)#67,67,-9934,遥控(DO)#67,2,1,遥调(AO)#67,累计量(CI)#67
遥信(DI)#68,遥测(AI)#68,68,-9933,遥控(DO)#68,2,1,遥调(AO)#68,累计量(CI)#68
遥信(DI)#69,遥测(AI)#69,69,-9932,遥控(DO)#69,2,1,遥调(AO)#69,累计量(CI)#69
遥信(DI)#70,遥测(AI)#70,70,-9931,遥控(DO)#70,2,1,遥调(AO)#70,累计量(CI)#70
遥信(DI)#71,遥测(AI)#71,71,-9930,遥控(DO)#71,2,1,遥调(AO)#71,累计量(CI)#71
遥信(DI)#72,遥测(AI)#72,72,-9929,遥控(DO)#72,2,1,遥调(AO)#72,累计量(CI)#72
遥信(DI)#73,遥测(AI)#73,73,-9928,遥控(DO)#73,2,1,遥调(AO)#73,累计量(CI)#73
遥信(DI)#74,遥测(AI)#74,74,-9927,遥控(DO)#74,2,1,遥调(AO)#74,累计量(CI)#74
遥信(DI)#75,遥测(AI)#75,75,-9926,遥控(DO)#75,2,1,遥调(AO)#75,累计量(CI)#75
遥信(DI)#76,遥测(AI)#76,76,-9925,遥控(DO)#76,2,1,遥调(AO)#76,累计量(CI)#76
遥信(DI)#77,遥测(AI)#77,77,-9924,遥控(DO)#77,2,1,遥调(AO)#77,累计量(CI)#77
遥信(DI)#78,遥测(AI)#78,78,-9923,遥控(DO)#78,2,1,遥调(AO)#78,累计量(CI)#78
遥信(DI)#79,遥测(AI)#79,79,-9922,遥控(DO)#79,2,1,遥调(AO)#79,累计量(CI)#79
遥信(DI)#80,遥测(AI)#80,80,-9921,遥控(DO)#80,2,1,遥调(AO)#80,累计量(CI)#80
遥信(DI)#81,遥测(AI)#81,81,-9920,遥控(DO)#81,2,1,遥调(AO)#81,累计量(CI)#81
遥信(DI)#82,遥测(AI)#82,82,-9919,遥控(DO)#82,2,1,遥调(AO)#82,累计量(CI)#82
遥信(DI)#83,遥测(AI)#83,83,-9918,遥控(DO)#83,2,1,遥调(AO)#83,累计量(CI)#83
遥信(DI)#84,遥测(AI)#84,84,-9917,遥控(DO)#84,2,1,遥调(AO)#84,累计量(CI)#84
遥信(DI)#85,遥测(AI)#85,85,-9916,遥控(DO)#85,2,1,遥调(AO)#85,累计量(CI)#85
遥信(DI)#86,遥测(AI)#86,86,-9915,遥控(DO)#86,2,1,遥调(AO)#86,累计量(CI)#86
遥信(DI)#87,遥测(AI)#87,87,-9914,遥控(DO)#87,2,1,遥调(AO)#87,累计量(CI)#87
遥信(DI)#88,遥测(AI)#88,88,-9913,遥控(DO)#88,2,1,遥调(AO)#88,累计量(CI)#88
遥信(DI)#89,遥测(AI)#89,89,-9912,遥控(DO)#89,2,1,遥调(AO)#89,累计量(CI)#89
遥信(DI)#90,遥测(AI)#90,90,-9911,遥控(DO)#90,2,1,遥调(AO)#90,累计量(CI)#90
遥信(DI)#91,遥测(AI)#91,91,-9910,遥控(DO)#91,2,1,遥调(AO)#91,累计量(CI)#91
遥信(DI)#92,遥测(AI)#92,92,-9909,遥控(DO)#92,2,1,遥调(AO)#92,累计量(CI)#92
遥信(DI)#93,遥测(AI)#93,93,-9908,遥控(DO)#93,2,1,遥调(AO)#93,累计量(CI)#93
遥信(DI)#94,遥测(AI)#94,94,-9907,遥控(DO)#94,2,1,遥调(AO)#94,累计量(CI)#94
遥信(DI)#95,遥测(AI)#95,95,-9906,遥控(DO)#95,2,1,遥调(AO)#95,累计量(CI)#95
遥信(DI)#96,遥测(AI)#96,96,-9905,遥控(DO)#96,2,1,遥调(AO)#96,累计量(CI)#96
遥信(DI)#97,遥测(AI)#97,97,-9904,遥控(DO)#97,2,1,遥调(AO)#97,累计量(CI)#97
遥信(DI)#98,遥测(AI)#98,98,-9903,遥控(DO)#98,2,1,遥调(AO)#98,累计量(CI)#98
遥信(DI)#99,遥测(AI)#99,99,-9902,遥控(DO)#99,2,1,遥调(AO)#99,累计量(CI)#99
遥信(DI)#100,遥测(AI)#100,100,-9901,遥控(DO)#100,2,1,遥调(AO)#100,累计量(CI)#100
遥信(DI)#101,遥测(AI)#101,101,-9900,遥控(DO)#101,2,1,遥调(AO)#101,累计量(CI)#101
遥信(DI)#102,遥测(AI)#102,102,-9899,遥控(DO)#102,2,1,遥调(AO)#102,累计量(CI)#102
遥信(DI)#103,遥测(AI)#103,103,-9898,遥控(DO)#103,2,1,遥调(AO)#103,累计量(CI)#103
遥信(DI)#104,遥测(AI)#104,104,-9897,遥控(DO)#104,2,1,遥调(AO)#104,累计量(CI)#104
遥信(DI)#105,遥测(AI)#105,105,-9896,遥控(DO)#105,2,1,遥调(AO)#105,累计量(CI)#105
遥信(DI)#106,遥测(AI)#106,106,-9895,遥控(DO)#106,2,1,遥调(AO)#106,累计量(CI)#106
遥信(DI)#107,遥测(AI)#107,107,-9894,遥控(DO)#107,2,1,遥调(AO)#107,累计量(CI)#107
遥信(DI)#108,遥测(AI)#108,108,-9893,遥控(DO)#108,2,1,遥调(AO)#108,累计量(CI)#108
遥信(DI)#109,遥测(AI)#109,109,-9892,遥控(DO)#109,2,1,遥调(AO)#109,累计量(CI)#109
遥信(DI)#110,遥测(AI)#110,110,-9891,遥控(DO)#110,2,1,遥调(AO)#110,累计量(CI)#110
遥信(DI)#111,遥测(AI)#111,111,-9890,遥控(DO)#111,2,1,遥调(AO)#111,累计量(CI)#111
遥信(DI)#112,遥测(AI)#112,112,-9889,遥控(DO)#112,2,1,遥调(AO)#112,累计量(CI)#112
遥信(DI)#113,遥测(AI)#113,113,-9888,遥控(DO)#113,2,1,遥调(AO)#113,累计量(CI)#113
遥信(DI)#114,遥测(AI)#114,114,-9887,遥控(DO)#114,2,1,遥调(AO)#114,累计量(CI)#114
遥信(DI)#115,遥测(AI)#115,115,-9886,遥控(DO)#115,2,1,遥调(AO)#115,累计量(CI)#115
遥信(DI)#116,遥测(AI)#116,116,-9885,遥控(DO)#116,2,1,遥调(AO)#116,累计量(CI)#116
遥信(DI)#117,遥测(AI)#117,117,-9884,遥控(DO)#117,2,1,遥调(AO)#117,累计量(CI)#117
遥信(DI)#118,遥测(AI)#118,118,-9883,遥控(DO)#118,2,1,遥调(AO)#118,累计量(CI)#118
遥信(DI)#119,遥测(AI)#119,119,-9882,遥控(DO)#119,2,1,遥调(AO)#119,累计量(CI)#119
遥信(DI)#120,遥测(AI)#120,120,-9881,遥控(DO)#120,2,1,遥调(AO)#120,累计量(CI)#120
遥信(DI)#121,遥测(AI)#121,121,-9880,遥控(DO)#121,2,1,遥调(AO)#121,累计量(CI)#121
遥信(DI)#122,遥测(AI)#122,122,-9879,遥控(DO)#122,2,1,遥调(AO)#122,累计量(CI)#122
遥信(DI)#123,遥测(AI)#123,123,-9878,遥控(DO)#123,2,1,遥调(AO)#123,累计量(CI)#123
遥信(DI)#124,遥测(AI)#124,124,-9877,遥控(DO)#124,2,1,遥调(AO)#124,累计量(CI)#124
遥信(DI)#125,遥测(AI)#125,125,-9876,遥控(DO)#125,2,1,遥调(AO)#125,累计量(CI)#125
遥信(DI)#126,遥测(AI)#126,126,-9875,遥控(DO)#126,2,1,遥调(AO)#126,累计量(CI)#126
遥信(DI)#127,遥测(AI)#127,127,-9874,遥控(DO)#127,2,1,遥调(AO)#127,累计量(CI)#127
遥信(DI)#128,遥测(AI)#128,128,-9873,遥控(DO)#128,2,1,遥调(AO)#128,累计量(CI)#128
遥信(DI)#129,遥测(AI)#129,129,-9872,遥控(DO)#129,2,1,遥调(AO)#129,累计量(CI)#129
遥信(DI)#130,遥测(AI)#130,130,-9871,遥控(DO)#130,2,1,遥调(AO)#130,累计量(CI)#130
遥信(DI)#131,遥测(AI)#131,131,-9870,遥控(DO)#131,2,1,遥调(AO)#131,累计量(CI)#131
遥信(DI)#132,遥测(AI)#132,132,-9869,遥控(DO)#132,2,1,遥调(AO)#132,累计量(CI)#132
遥信(DI)#133,遥测(AI)#133,133,-9868,遥控(DO)#133,2,1,遥调(AO)#133,累计量(CI)#133
遥信(DI)#134,遥测(AI)#134,134,-9867,遥控(DO)#134,2,1,遥调(AO)#134,累计量(CI)#134
遥信(DI)#135,遥测(AI)#135,135,-9866,遥控(DO)#135,2,1,遥调(AO)#135,累计量(CI)#135
遥信(DI)#136,遥测(AI)#136,136,-9865,遥控(DO)#136,2,1,遥调(AO)#136,累计量(CI)#136
遥信(DI)#137,遥测(AI)#137,137,-9864,遥控(DO)#137,2,1,遥调(AO)#137,累计量(CI)#137
遥信(DI)#138,遥测(AI)#138,138,-9863,遥控(DO)#138,2,1,遥调(AO)#138,累计量(CI)#138
遥信(DI)#139,遥测(AI)#139,139,-9862,遥控(DO)#139,2,1,遥调(AO)#139,累计量(CI)#139
遥信(DI)#140,遥测(AI)#140,140,-9861,遥控(DO)#140,2,1,遥调(AO)#140,累计量(CI)#140
遥信(DI)#141,遥测(AI)#141,141,-9860,遥控(DO)#141,2,1,遥调(AO)#141,累计量(CI)#141
遥信(DI)#142,遥测(AI)#142,142,-9859,遥控(DO)#142,2,1,遥调(AO)#142,累计量(CI)#142
遥信(DI)#143,遥测(AI)#143,143,-9858,遥控(DO)#143,2,1,遥调(AO)#143,累计量(CI)#143
遥信(DI)#144,遥测(AI)#144,144,-9857,遥控(DO)#144,2,1,遥调(AO)#144,累计量(CI)#144
遥信(DI)#145,遥测(AI)#145,145,-9856,遥控(DO)#145,2,1,遥调(AO)#145,累计量(CI)#145
遥信(DI)#146,遥测(AI)#146,146,-9855,遥控(DO)#146,2,1,遥调(AO)#146,累计量(CI)#146
遥信(DI)#147,遥测(AI)#147,147,-9854,遥控(DO)#147,2,1,遥调(AO)#147,累计量(CI)#147
遥信(DI)#148,遥测(AI)#148,148,-9853,遥控(DO)#148,2,1,遥调(AO)#148,累计量(CI)#148
遥信(DI)#149,遥测(AI)#149,149,-9852,遥控(DO)#149,2,1,遥调(AO)#149,累计量(CI)#149
遥信(DI)#150,遥测(AI)#150,150,-9851,遥控(DO)#150,2,1,遥调(AO)#150,累计量(CI)#150
遥信(DI)#151,遥测(AI)#151,151,-9850,遥控(DO)#151,2,1,遥调(AO)#151,累计量(CI)#151
遥信(DI)#152,遥测(AI)#152,152,-9849,遥控(DO)#152,2,1,遥调(AO)#152,累计量(CI)#152
遥信(DI)#153,遥测(AI)#153,153,-9848,遥控(DO)#153,2,1,遥调(AO)#153,累计量(CI)#153
遥信(DI)#154,遥测(AI)#154,154,-9847,遥控(DO)#154,2,1,遥调(AO)#154,累计量(CI)#154
遥信(DI)#155,遥测(AI)#155,155,-9846,遥控(DO)#155,2,1,遥调(AO)#155,累计量(CI)#155
遥信(DI)#156,遥测(AI)#156,156,-9845,遥控(DO)#156,2,1,遥调(AO)#156,累计量(CI)#156
遥信(DI)#157,遥测(AI)#157,157,-9844,遥控(DO)#157,2,1,遥调(AO)#157,累计量(CI)#157
遥信(DI)#158,遥测(AI)#158,158,-9843,遥控(DO)#158,2,1,遥调(AO)#158,累计量(CI)#158
遥信(DI)#159,遥测(AI)#159,159,-9842,遥控(DO)#159,2,1,遥调(AO)#159,累计量(CI)#159
遥信(DI)#160,遥测(AI)#160,160,-9841,遥控(DO)#160,2,1,遥调(AO)#160,累计量(CI)#160
遥信(DI)#161,遥测(AI)#161,161,-9840,遥控(DO)#161,2,1,遥调(AO)#161,累计量(CI)#161
遥信(DI)#162,遥测(AI)#162,162,-9839,遥控(DO)#162,2,1,遥调(AO)#162,累计量(CI)#162
遥信(DI)#163,遥测(AI)#163,163,-9838,遥控(DO)#163,2,1,遥调(AO)#163,累计量(CI)#163
遥信(DI)#164,遥测(AI)#164,164,-9837,遥控(DO)#164,2,1,遥调(AO)#164,累计量(CI)#164
遥信(DI)#165,遥测(AI)#165,165,-9836,遥控(DO)#165,2,1,遥调(AO)#165,累计量(CI)#165
遥信(DI)#166,遥测(AI)#166,166,-9835,遥控(DO)#166,2,1,遥调(AO)#166,累计量(CI)#166
遥信(DI)#167,遥测(AI)#167,167,-9834,遥控(DO)#167,2,1,遥调(AO)#167,累计量(CI)#167
遥信(DI)#168,遥测(AI)#168,168,-9833,遥控(DO)#168,2,1,遥调(AO)#168,累计量(CI)#168
遥信(DI)#169,遥测(AI)#169,169,-9832,遥控(DO)#169,2,1,遥调(AO)#169,累计量(CI)#169
遥信(DI)#170,遥测(AI)#170,170,-9831,遥控(DO)#170,2,1,遥调(AO)#170,累计量(CI)#170
遥信(DI)#171,遥测(AI)#171,171,-9830,遥控(DO)#171,2,1,遥调(AO)#171,累计量(CI)#171
遥信(DI)#172,遥测(AI)#172,172,-9829,遥控(DO)#172,2,1,遥调(AO)#172,累计量(CI)#172
遥信(DI)#173,遥测(AI)#173,173,-9828,遥控(DO)#173,2,1,遥调(AO)#173,累计量(CI)#173
遥信(DI)#174,遥测(AI)#174,174,-9827,遥控(DO)#174,2,1,遥调(AO)#174,累计量(CI)#174
遥信(DI)#175,遥测(AI)#175,175,-9826,遥控(DO)#175,2,1,遥调(AO)#175,累计量(CI)#175
遥信(DI)#176,遥测(AI)#176,176,-9825,遥控(DO)#176,2,1,遥调(AO)#176,累计量(CI)#176
遥信(DI)#177,遥测(AI)#177,177,-9824,遥控(DO)#177,2,1,遥调(AO)#177,累计量(CI)#177
遥信(DI)#178,遥测(AI)#178,178,-9823,遥控(DO)#178,2,1,遥调(AO)#178,累计量(CI)#178
遥信(DI)#179,遥测(AI)#179,179,-9822,遥控(DO)#179,2,1,遥调(AO)#179,累计量(CI)#179
遥信(DI)#180,遥测(AI)#180,180,-9821,遥控(DO)#180,2,1,遥调(AO)#180,累计量(CI)#180
遥信(DI)#181,遥测(AI)#181,181,-9820,遥控(DO)#181,2,1,遥调(AO)#181,累计量(CI)#181
遥信(DI)#182,遥测(AI)#182,182,-9819,遥控(DO)#182,2,1,遥调(AO)#182,累计量(CI)#182
遥信(DI)#183,遥测(AI)#183,183,-9818,遥控(DO)#183,2,1,遥调(AO)#183,累计量(CI)#183
遥信(DI)#184,遥测(AI)#184,184,-9817,遥控(DO)#184,2,1,遥调(AO)#184,累计量(CI)#184
遥信(DI)#185,遥测(AI)#185,185,-9816,遥控(DO)#185,2,1,遥调(AO)#185,累计量(CI)#185
遥信(DI)#186,遥测(AI)#186,186,-9815,遥控(DO)#186,2,1,遥调(AO)#186,累计量(CI)#186
遥信(DI)#187,遥测(AI)#187,187,-9814,遥控(DO)#187,2,1,遥调(AO)#187,累计量(CI)#187
遥信(DI)#188,遥测(AI)#188,188,-9813,遥控(DO)#188,2,1,遥调(AO)#188,累计量(CI)#188
遥信(DI)#189,遥测(AI)#189,189,-9812,遥控(DO)#189,2,1,遥调(AO)#189,累计量(CI)#189
遥信(DI)#190,遥测(AI)#190,190,-9811,遥控(DO)#190,2,1,遥调(AO)#190,累计量(CI)#190
遥信(DI)#191,遥测(AI)#191,191,-9810,遥控(DO)#191,2,1,遥调(AO)#191,累计量(CI)#191
遥信(DI)#192,遥测(AI)#192,192,-9809,遥控(DO)#192,2,1,遥调(AO)#192,累计量(CI)#192
遥信(DI)#193,遥测(AI)#193,193,-9808,遥控(DO)#193,2,1,遥调(AO)#193,累计量(CI)#193
遥信(DI)#194,遥测(AI)#194,194,-9807,遥控(DO)#194,2,1,遥调(AO)#194,累计量(CI)#194
遥信(DI)#195,遥测(AI)#195,195,-9806,遥控(DO)#195,2,1,遥调(AO)#195,累计量(CI)#195
遥信(DI)#196,遥测(AI)#196,196,-9805,遥控(DO)#196,2,1,遥调(AO)#196,累计量(CI)#196
遥信(DI)#197,遥测(AI)#197,197,-9804,遥控(DO)#197,2,1,遥调(AO)#197,累计量(CI)#197
遥信(DI)#198,遥测(AI)#198,198,-9803,遥控(DO)#198,2,1,遥调(AO)#198,累计量(CI)#198
遥信(DI)#199,遥测(AI)#199,199,-9802,遥控(DO)#199,2,1,遥调(AO)#199,累计量(CI)#199
遥信(DI)#200,遥测(AI)#200,200,-9801,遥控(DO)#200,2,1,遥调(AO)#200,累计量(CI)#200
遥信(DI)#201,遥测(AI)#201,201,-9800,遥控(DO)#201,2,1,遥调(AO)#201,累计量(CI)#201
遥信(DI)#202,遥测(AI)#202,202,-9799,遥控(DO)#202,2,1,遥调(AO)#202,累计量(CI)#202
遥信(DI)#203,遥测(AI)#203,203,-9798,遥控(DO)#203,2,1,遥调(AO)#203,累计量(CI)#203
遥信(DI)#204,遥测(AI)#204,204,-9797,遥控(DO)#204,2,1,遥调(AO)#204,累计量(CI)#204
遥信(DI)#205,遥测(AI)#205,205,-9796,遥控(DO)#205,2,1,遥调(AO)#205,累计量(CI)#205
遥信(DI)#206,遥测(AI)#206,206,-9795,遥控(DO)#206,2,1,遥调(AO)#206,累计量(CI)#206
遥信(DI)#207,遥测(AI)#207,207,-9794,遥控(DO)#207,2,1,遥调(AO)#207,累计量(CI)#207
遥信(DI)#208,遥测(AI)#208,208,-9793,遥控(DO)#208,2,1,遥调(AO)#208,累计量(CI)#208
遥信(DI)#209,遥测(AI)#209,209,-9792,遥控(DO)#209,2,1,遥调(AO)#209,累计量(CI)#209
遥信(DI)#210,遥测(AI)#210,210,-9791,遥控(DO)#210,2,1,遥调(AO)#210,累计量(CI)#210
遥信(DI)#211,遥测(AI)#211,211,-9790,遥控(DO)#211,2,1,遥调(AO)#211,累计量(CI)#211
遥信(DI)#212,遥测(AI)#212,212,-9789,遥控(DO)#212,2,1,遥调(AO)#212,累计量(CI)#212
遥信(DI)#213,遥测(AI)#213,213,-9788,遥控(DO)#213,2,1,遥调(AO)#213,累计量(CI)#213
遥信(DI)#214,遥测(AI)#214,214,-9787,遥控(DO)#214,2,1,遥调(AO)#214,累计量(CI)#214
遥信(DI)#215,遥测(AI)#215,215,-9786,遥控(DO)#215,2,1,遥调(AO)#215,累计量(CI)#215
遥信(DI)#216,遥测(AI)#216,216,-9785,遥控(DO)#216,2,1,遥调(AO)#216,累计量(CI)#216
遥信(DI)#217,遥测(AI)#217,217,-9784,遥控(DO)#217,2,1,遥调(AO)#217,累计量(CI)#217
遥信(DI)#218,遥测(AI)#218,218,-9783,遥控(DO)#218,2,1,遥调(AO)#218,累计量(CI)#218
遥信(DI)#219,遥测(AI)#219,219,-9782,遥控(DO)#219,2,1,遥调(AO)#219,累计量(CI)#219
遥信(DI)#220,遥测(AI)#220,220,-9781,遥控(DO)#220,2,1,遥调(AO)#220,累计量(CI)#220
遥信(DI)#221,遥测(AI)#221,221,-9780,遥控(DO)#221,2,1,遥调(AO)#221,累计量(CI)#221
遥信(DI)#222,遥测(AI)#222,222,-9779,遥控(DO)#222,2,1,遥调(AO)#222,累计量(CI)#222
遥信(DI)#223,遥测(AI)#223,223,-9778,遥控(DO)#223,2,1,遥调(AO)#223,累计量(CI)#223
遥信(DI)#224,遥测(AI)#224,224,-9777,遥控(DO)#224,2,1,遥调(AO)#224,累计量(CI)#224
遥信(DI)#225,遥测(AI)#225,225,-9776,遥控(DO)#225,2,1,遥调(AO)#225,累计量(CI)#225
遥信(DI)#226,遥测(AI)#226,226,-9775,遥控(DO)#226,2,1,遥调(AO)#226,累计量(CI)#226
遥信(DI)#227,遥测(AI)#227,227,-9774,遥控(DO)#227,2,1,遥调(AO)#227,累计量(CI)#227
遥信(DI)#228,遥测(AI)#228,228,-9773,遥控(DO)#228,2,1,遥调(AO)#228,累计量(CI)#228
